"t","Yt","Y(t-1)","Xt"
"187","4999.9526367188","4999.951171875","30.088283538818"
"188","4999.958984375","4999.9526367188","30.143602371216"
"189","4999.9575195312","4999.958984375","30.21022605896"
"190","4999.9560546875","4999.9575195312","30.260662078857"
"191","4999.9521484375","4999.9560546875","30.30403137207"
"192","4999.9541015625","4999.9521484375","30.318086624146"
"193","4999.9526367188","4999.9541015625","30.346759796142"
"194","4999.953125","4999.9526367188","30.383296966553"
"195","4999.9575195312","4999.953125","30.427713394165"
"196","4999.9594726562","4999.9575195312","30.475856781006"
"197","4999.9526367188","4999.9594726562","30.515800476074"
"198","4999.95703125","4999.9526367188","30.546089172363"
"199","4999.9619140625","4999.95703125","30.585109710693"
"200","4999.9614257812","4999.9619140625","30.604801177979"
